SUBJ,CRS,SEC,TITLE,INSTRUCTORS,CRN,MIN_CRED,MAX_CRED,DAYS,TIME,RM_CAP,ENRL,GLOB_CAP,LOC_CAP,AVAIL,STAT,FIRECAP,CAMPUS,COLLEGE,LEVEL,COREQS,RESTRICTIONS,PREREQS,COMMENTs
AAD,100,01,Arts Admin Lab,Heidelberg (Brea M.),[20340],  0.0,     ,M,07:00PM-08:00PM,48,   47,,   60,   13,OPEN,49,LAW,FP,UG,,| ONLY Arts Administration | ONLY Undergraduate| ONLY BA in Arts Administration,,
AAD,202,F1,Commun/Marketing in Arts,Dellinger (Todd M.),[20342],  3.0,     ,TTH,09:45AM-11:15AM,28,   20,,   19,   -1,CLSD,29,LAW,FP,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,AAD 121 UG D and CMP 120 UG D,
AAD,204,L1,Arts Outreach & Education,Heidelberg (Brea M.),[21865],  3.0,     ,TTH,01:10PM-02:40PM,48,   17,,   35,   18,OPEN,49,LAW,FP,UG,,| ONLY Junior& Senior& Sophomore,AAD 121 UG D,
AAD,225,01,Arts Practicun I - Patron Svcs,Heidelberg (Brea M.),[20343],  2.0,     ,M,05:15PM-06:15PM,13,    9,,   16,    7,OPEN,14,LAW,FP,UG,,| ONLY Undergraduate,AAD 121 UG D,
AAD,306,01,SS:Business/Art of Recording,Takacs (Louis),[21828],  2.0,     ,,,,    1,,    1,    0,CLSD,,LAW,WC,UG,,| ONLY Undergraduate,AAD 121 UG D and CBA 110 UG D,Dean Signature Required
AAD,306,02,SS:Business/Art of Recording,Ostrow (Marc D.),[22139],  2.0,     ,,,,    2,,    2,    0,CLSD,,LAW,WC,UG,,| ONLY Undergraduate,AAD 121 UG D and CBA 110 UG D,
AAD,307,I1,Touring & Production Managemnt,Heidelberg (Brea M.),[20344],  3.0,     ,MW,02:50PM-04:20PM,16,    8,,   35,   27,OPEN,17,LAW,FP,UG,,| ONLY Undergraduate,,
AAD,309,G1,Arts Events & Festivals Mgt,Dellinger (Todd M.),[21863],  3.0,     ,MW,01:10PM-02:40PM,16,    8,,   35,   27,OPEN,17,LAW,FP,UG,,| ONLY Arts Administration | ONLY Junior& Senior,AAD 121 UG D,
AAD,325,01,Arts Admin Practicum II,Heidelberg (Brea M.),[20346],  3.0,     ,M,05:15PM-06:15PM,13,    8,,   16,    8,OPEN,14,LAW,FP,UG,,| ONLY Junior& Senior| ONLY Undergraduate,Prerequisites: Two Semesters AAD-225 2.5 minimum GPA,
AAD,400,O1,DS: Arts Politics & Policy,Dellinger (Todd M.),[21860],  3.0,     ,TTH,04:30PM-06:00PM,16,    4,,   35,   31,OPEN,17,LAW,FP,UG,,| ONLY Arts Administration | ONLY Junior& Senior,AAD 121 UG D and AAD 202 UG D and AAD 203 UG D,
AAD,401,01,New York Arts Network,Dellinger (Todd M.),[21862],  3.0,     ,F,10:30AM-10:00PM,,    5,,   35,   30,OPEN,,LAW,FP,UG,,| ONLY Arts Administration Major| ONLY Senior| ONLY Undergraduate,AAD 121 UG D and AAD 202 UG D and AAD 203 UG D,
AAD,490,01,IS:Gov-Fund Am Theater,Heidelberg (Brea M.),[22047],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AAD,490,02,IS:Czech Musical Theatre,Dellinger (Todd M.),[22097],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AAD,491,01,Arts Management Internship,Heidelberg (Brea M.),[21927],  3.0, 12.0,,,,    5,,    0,   -5,CLSD,,LAW,FP,UG,,| ONLY Arts Administration | ONLY Senior| ONLY Undergraduate,,
AAD,491,02,Arts Management Internship,Dellinger (Todd M.),[21928],  3.0, 12.0,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Arts Administration | ONLY Senior| ONLY Undergraduate,,Academic Coordinator Signature
ACC,210,N1,Introduction to Accounting,Maley (Laura),[20828],  3.0,     ,TTH,02:50PM-04:20PM,48,   33,,   25,   -8,CLSD,49,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,,
ACC,210,WEO,Introduction to Accounting,Totaro (William J.),[20829],  3.0,     ,W,06:30PM-09:30PM,53,   23,25,   10,  -13,CLSD,54,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate| NO Continuing Studies,,
ACC,210,WER,Introduction to Accounting,Totaro (William J.),[20830],  3.0,     ,W,06:30PM-09:30PM,53,   10,25,   15,    5,OPEN,54,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate| ONLY Continuing Studies,,
ACC,220,C1,Managerial Uses of Accounting,Persons (Obeua S.),[20831],  3.0,     ,MWF,10:20AM-11:20AM,48,   23,,   25,    2,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,D1,Managerial Uses of Accounting,Persons (Obeua S.),[20832],  3.0,     ,MWF,11:30AM-12:30PM,48,   24,,   25,    1,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,K1,Managerial Uses of Accounting,Shaw (Donald),[20834],  3.0,     ,MW,04:30PM-06:00PM,48,   24,,   25,    1,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,L1,Managerial Uses of Accounting,Dunne (Kathleen),[20836],  3.0,     ,TTH,01:10PM-02:40PM,56,   30,,   25,   -5,CLSD,57,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,LM,Managerial Uses of Accounting,O'Reilly-Allen (Margaret),[20835],  3.0,     ,TTH,01:10PM-02:40PM,48,   32,,   25,   -7,CLSD,49,LAW,BU,UG,,| ONLY Accounting Major| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,N1,Managerial Uses of Accounting,Shaw (Donald),[20838],  3.0,     ,TTH,02:50PM-04:20PM,40,   29,,   25,   -4,CLSD,41,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,NM,Managerial Uses of Accounting,Chandar (Nandini),[20837],  3.0,     ,TTH,02:50PM-04:20PM,53,   31,,   25,   -6,CLSD,54,LAW,BU,UG,,| ONLY Accounting Major| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,ACC 210 UG D,
ACC,220,TEO,Managerial Uses of Accounting,Li (Fang S.),[20840],  3.0,     ,T,06:30PM-09:30PM,53,   21,25,   10,  -11,CLSD,54,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate| NO Continuing Studies,ACC 210 UG D,
ACC,220,TER,Managerial Uses of Accounting,Li (Fang S.),[20841],  3.0,     ,T,06:30PM-09:30PM,53,   10,25,   15,    5,OPEN,54,LAW,BU,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate| ONLY Continuing Studies,ACC 210 UG D,
ACC,302,N1,Cost Management,Li (Fang S.),[20842],  3.0,     ,TTH,02:50PM-04:20PM,48,   27,,   25,   -2,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior,ACC 220 UG D and CIS 185 UG D,
ACC,302,REG,Cost Management,Li (Fang S.),[20843],  3.0,     ,TH,06:30PM-09:30PM,48,    4,25,    5,    1,OPEN,49,LAW,BU,GR ; UG,,,ACC 220 UG D and CIS 185 UG D,
ACC,302,REO,Cost Management,Li (Fang S.),[20844],  3.0,     ,TH,06:30PM-09:30PM,48,   23,25,   10,  -13,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| NO Continuing Studies,ACC 220 UG D and CIS 185 UG D,
ACC,302,RER,Cost Management,Li (Fang S.),[20845],  3.0,     ,TH,06:30PM-09:30PM,48,    6,25,   10,    4,OPEN,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| ONLY Continuing Studies,ACC 220 UG D and CIS 185 UG D,
ACC,310,K1,Acct Theory & Concepts I,Shultz (Carl F.),[20846],  3.0,     ,MW,04:30PM-06:00PM,40,   28,,   25,   -3,CLSD,41,LAW,BU,GR ; UG,,| ONLY Junior& Senior,ACC 210 UG D and ACC 220 UG D,
ACC,310,MEG,Acct Theory & Concepts I,McDowell (Evelyn A.),[20847],  3.0,     ,M,06:30PM-09:30PM,48,    3,25,    5,    2,OPEN,49,LAW,BU,GR ; UG,,| ONLY Master of Accountancy& MACC Special,ACC 210 UG D and ACC 220 UG D,
ACC,310,MEO,Acct Theory & Concepts I,McDowell (Evelyn A.),[20848],  3.0,     ,M,06:30PM-09:30PM,48,    8,25,   10,    2,OPEN,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| NO Continuing Studies,ACC 210 UG D and ACC 220 UG D,
ACC,310,MER,Acct Theory & Concepts I,McDowell (Evelyn A.),[20849],  3.0,     ,M,06:30PM-09:30PM,48,    9,25,   10,    1,OPEN,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| ONLY Continuing Studies,ACC 210 UG D and ACC 220 UG D,
ACC,311,01,Acct Theory & Concepts II,Wygal (Donald E.),[20850],  3.0,     ,M,09:00AM-12:00PM,28,   20,,   25,    5,OPEN,29,LAW,BU,GR ; UG,,| ONLY Junior& Senior,ACC 310 UG D or ACC-310 Waiver WV,Chairperson Signature Required
ACC,311,G1,Acct Theory & Concepts II,Chandar (Nandini),[20851],  3.0,     ,MW,01:10PM-02:40PM,48,   31,,   25,   -6,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior,ACC 310 UG D or ACC-310 Waiver WV,
ACC,311,I1,Acct Theory & Concepts II,Chandar (Nandini),[20852],  3.0,     ,MW,02:50PM-04:20PM,48,   32,,   25,   -7,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior,ACC 310 UG D or ACC-310 Waiver WV,
ACC,311,TEG,Acct Theory & Concepts II,Chandar (Nandini),[20853],  3.0,     ,T,06:30PM-09:30PM,48,    6,25,    5,   -1,CLSD,49,LAW,BU,GR ; UG,,| ONLY Master of Accountancy,ACC 310 UG D or ACC-310 Waiver WV,
ACC,311,TEO,Acct Theory & Concepts II,Chandar (Nandini),[20854],  3.0,     ,T,06:30PM-09:30PM,48,   16,25,   10,   -6,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| NO Continuing Studies,ACC 310 UG D or ACC-310 Waiver WV,
ACC,311,TER,Acct Theory & Concepts II,Chandar (Nandini),[20855],  3.0,     ,T,06:30PM-09:30PM,48,   11,25,   10,   -1,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| ONLY Continuing Studies,ACC 310 UG D or ACC-310 Waiver WV,
ACC,320,01,Accounting Info Systems,Haywood-Sullivan (Mary E.),[21758],  3.0,     ,TWTHF,01:00PM-04:00PM,21,   13,,   25,   12,OPEN,22,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,ACC 310 UG D or ACC-310 Waiver WV,Chairperson Signature Required
ACC,320,E1,Accounting Info Systems,Haywood-Sullivan (Mary E.),[20856],  3.0,     ,TTH,08:00AM-09:30AM,48,   27,,   25,   -2,CLSD,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,ACC 310 UG D or ACC-310 Waiver WV,
ACC,320,F1,Accounting Info Systems,Haywood-Sullivan (Mary E.),[20858],  3.0,     ,TTH,09:45AM-11:15AM,48,   31,,   25,   -6,CLSD,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,ACC 310 UG D or ACC-310 Waiver WV,
ACC,320,TEO,Accounting Info Systems,McCabe (Thomas J.),[20860],  3.0,     ,T,06:30PM-09:30PM,48,   17,25,   10,   -7,CLSD,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate| NO Continuing Studies,ACC 310 UG D or ACC-310 Waiver WV,
ACC,320,TER,Accounting Info Systems,McCabe (Thomas J.),[20862],  3.0,     ,T,06:30PM-09:30PM,48,    3,25,   15,   12,OPEN,49,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate| ONLY Continuing Studies,ACC 310 UG D or ACC-310 Waiver WV,
ACC,325,E1,Fraud Exam & Bus Forensics,McMullen (Dorothy A.),[20864],  3.0,     ,TTH,08:00AM-09:30AM,24,   15,,   25,   10,OPEN,25,LAW,BU,UG,,| ONLY Undergraduate,ACC 210 UG D,
ACC,325,F1,Fraud Exam & Bus Forensics,McMullen (Dorothy A.),[20865],  3.0,     ,TTH,09:45AM-11:15AM,24,   21,,   25,    4,OPEN,25,LAW,BU,UG,,| ONLY Undergraduate,ACC 210 UG D,
ACC,399,01,The Co-Operative Experience,O'Reilly-Allen (Margaret),[20866],  6.0,     ,,,,   24,,   25,    1,OPEN,,LAW,BU,UG,,| ONLY Accounting Major| ONLY Junior& Senior| ONLY Undergraduate,Prerequisites: ACC-210 ACC-220 and ACC-310.|A minimum GPA of 3.0 in Accounting Course Work,Instructor Signature Required
ACC,400,F1,Principles of Auditing,McDowell (Evelyn A.),[20868],  3.0,     ,TTH,09:45AM-11:15AM,48,   14,,   25,   11,OPEN,49,LAW,BU,GR ; UG,,| ONLY Senior,ACC 302 UG D and ( ACC 310 UG D or ACC-310 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,400,L1,Principles of Auditing,McDowell (Evelyn A.),[20869],  3.0,     ,TTH,01:10PM-02:40PM,44,   15,,   25,   10,OPEN,45,LAW,BU,GR ; UG,,| ONLY Senior,ACC 302 UG D and ( ACC 310 UG D or ACC-310 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,400,REG,Principles of Auditing,Nissen (Matthew P.),[20870],  3.0,     ,TH,06:30PM-09:30PM,48,    6,25,    5,   -1,CLSD,49,LAW,BU,GR ; UG,,| ONLY Master of Accountancy,ACC 302 UG D and ( ACC 310 UG D or ACC-310 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,400,REO,Principles of Auditing,Nissen (Matthew P.),[20872],  3.0,     ,TH,06:30PM-09:30PM,48,    8,25,   10,    2,OPEN,49,LAW,BU,GR ; UG,,| ONLY Senior| NO Continuing Studies,ACC 302 UG D and ( ACC 310 UG D or ACC-310 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,400,RER,Principles of Auditing,Nissen (Matthew P.),[20873],  3.0,     ,TH,06:30PM-09:30PM,48,    5,25,   10,    5,OPEN,49,LAW,BU,GR ; UG,,| ONLY Senior| ONLY Continuing Studies,ACC 302 UG D and ( ACC 310 UG D or ACC-310 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,405,MEG,Acct Problems & Practice,Tamburro (Harold C.),[20875],  3.0,     ,M,06:30PM-09:30PM,48,    5,25,    5,    0,CLSD,49,LAW,BU,GR ; UG,,| ONLY Master of Accountancy,( ACC 302 UG D or ACC-302 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,405,MEO,Acct Problems & Practice,Tamburro (Harold C.),[20878],  3.0,     ,M,06:30PM-09:30PM,48,   14,25,   10,   -4,CLSD,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| NO Continuing Studies,( ACC 302 UG D or ACC-302 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,405,MER,Acct Problems & Practice,Tamburro (Harold C.),[20880],  3.0,     ,M,06:30PM-09:30PM,48,    9,25,   10,    1,OPEN,49,LAW,BU,GR ; UG,,| ONLY Junior& Senior| ONLY Continuing Studies,( ACC 302 UG D or ACC-302 Waiver WV ) and ( ACC 311 UG D or ACC-311 Waiver WV ),
ACC,406,I1,Integrative Professional Capst,Wygal (Donald E.),[20882],  3.0,     ,MW,02:50PM-04:20PM,48,   29,,   25,   -4,CLSD,49,LAW,BU,UG,,| ONLY Senior| ONLY Undergraduate,ACC 405 UG D or ACC-405 Waiver WV,
ACC,406,WEO,Integrative Professional Capst,Wygal (Donald E.),[20887],  3.0,     ,W,06:30PM-09:30PM,48,   26,25,   15,  -11,CLSD,49,LAW,BU,UG,,| ONLY Senior| ONLY Undergraduate| NO Continuing Studies,ACC 405 UG D or ACC-405 Waiver WV,
ACC,406,WER,Integrative Professional Capst,Wygal (Donald E.),[20888],  3.0,     ,W,06:30PM-09:30PM,48,    2,25,   10,    8,OPEN,49,LAW,BU,UG,,| ONLY Senior| ONLY Undergraduate| ONLY Continuing Studies,ACC 405 UG D or ACC-405 Waiver WV,
ACC,410,F1,Fund of Federal Taxation,Sumutka (Alan R.),[20892],  3.0,     ,TTH,09:45AM-11:15AM,32,   20,,   20,    0,CLSD,33,LAW,BU,GR ; UG,,| ONLY Senior,ACC 310 UG D or ACC-310 Waiver WV,
ACC,410,TEG,Fund of Federal Taxation,Sumutka (Alan R.); Jin (Li),[20894],  3.0,     ,T,06:30PM-09:30PM,32,    7,25,    5,   -2,CLSD,33,LAW,BU,GR ; UG,,| ONLY Master of Accountancy,ACC 310 UG D or ACC-310 Waiver WV,
ACC,410,TEO,Fund of Federal Taxation,Sumutka (Alan R.); Jin (Li),[20897],  3.0,     ,T,06:30PM-09:30PM,32,   10,25,   10,    0,CLSD,33,LAW,BU,GR ; UG,,| ONLY Senior| NO Continuing Studies,ACC 310 UG D or ACC-310 Waiver WV,
ACC,410,TER,Fund of Federal Taxation,Sumutka (Alan R.); Jin (Li),[20898],  3.0,     ,T,06:30PM-09:30PM,32,    8,25,   10,    2,OPEN,33,LAW,BU,GR ; UG,,| ONLY Senior| ONLY Continuing Studies,ACC 310 UG D or ACC-310 Waiver WV,
ACC,450,N1,Business Forensic Application,McMullen (Dorothy A.),[20899],  3.0,     ,TTH,02:50PM-04:20PM,24,    7,,   25,   18,OPEN,25,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,( ACC 325 UG D and BUS 425 UG D) and ( ACC 320 UG D or ACC 400 UG D or CIS 370 UG D),
ACC,490,01,Independent Research and Study,Dunne (Kathleen),[21850],  3.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ACC,490,02,IS:Ethics:Mat Stu Values,Haywood-Sullivan (Mary E.),[22052],  3.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ACC,490,03,IS: Corporate Governance,McDowell (Evelyn A.),[22123],  3.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ACC,490,04,IS: Process Standardization,Farrell (John J.),[22161],  3.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ACC,491,01,Accounting Internship,O'Reilly-Allen (Margaret),[21864],  3.0,     ,,,,    2,,    1,   -1,CLSD,,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,Academic Coordinator Signature
ACC,491,02,Accounting Internship,Persons (Obeua S.),[22160],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,
ADV,300,F1,Advertising Principles,Amazeen (Michelle A.),[20902],  3.0,     ,TTH,09:45AM-11:15AM,40,   25,,   25,    0,CLSD,41,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,MKT 200 UG D,
ADV,370,I1,Interactive Advertising,Gao (Zhihong),[20904],  3.0,     ,MW,02:50PM-04:20PM,32,   10,,   25,   15,OPEN,33,LAW,BU,UG,,| ONLY Junior& Senior| ONLY Undergraduate,ADV 300 UG D,
ADV,411,01,DS:  Advanced Copywriting,Kornblau (Leonard A.),[21858],  3.0,     ,,,,    5,,    1,   -4,CLSD,,LAW,BU,UG,,| ONLY Undergraduate,ADV 311 UG D,Academic Coordinator Signature
ADV,435,01,DS: Advertising Campaigns,Kornblau (Leonard A.),[21851],  3.0,     ,,,,    3,,    1,   -2,CLSD,,LAW,BU,UG,,| ONLY Senior| ONLY Undergraduate,ADV 311 UG D and ADV 315 UG D,Academic Coordinator Signature
ADV,435,G1,Advertising Campaigns,Burgess (Mark),[20910],  3.0,     ,MW,01:10PM-02:40PM,40,   20,,   25,    5,OPEN,41,LAW,BU,UG,,| ONLY Advertising for English Major & General Advertising & Advertising | ONLY Senior| ONLY Undergraduate,ADV 311 UG D and ADV 315 UG D,
AMS,200,N1,Intro to American Studies,Hess (Mickey S.),[20734],  3.0,     ,TTH,02:50PM-04:20PM,28,   26,,   25,   -1,CLSD,29,LAW,LA,UG,,| ONLY Undergraduate,,
AMS,211,TA,Sports in American Life,Truchil (Barry E.),[20738],  3.0,     ,T,06:30PM-09:30PM,28,   24,,   25,    1,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate| ONLY Continuing Studies,,This is an 8-week alternate course for CCS students only.
AMS,214,01,SpTop: Culture of New Orleans,Sullivan (John R.),[20741],  3.0,     ,,,,   15,,   25,   10,OPEN,,LAW,LA,UG,,| ONLY Undergraduate,,Instructor Signature Required
AMS,214,02,SS: SpTop:Look into Author Gre,Setters (Raymond H.),[21868],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AMS,214,03,SS:Mothers in Am Lit,Peters (Pearlie M.),[21906],  3.0,     ,,,,    2,,    1,   -1,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AMS,214,HH,Sp Topics:American Cinema,Goldie (Matthew B.),[20740],  3.0,     ,W,01:10PM-04:10PM,48,   23,,   25,    2,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate,,
AMS,214,L1,SpTop: B WIlder in Hollywood,Neelakanta (Vanita),[20739],  3.0,     ,TTH,01:10PM-02:40PM,43,   23,,   25,    2,OPEN,44,LAW,LA,UG,,| ONLY Undergraduate,,
AMS,215,G1,Alfred Hitchcock in America,Sullivan (John R.),[20747],  3.0,     ,MW,01:10PM-02:40PM,46,   34,,   25,   -9,CLSD,47,LAW,LA,UG,,| ONLY Undergraduate,,
AMS,250,RE,America and the Future,Setters (Raymond H.),[20755],  3.0,     ,TH,06:30PM-09:30PM,36,   29,,   25,   -4,CLSD,37,LAW,LA,UG,,| ONLY Undergraduate,,
AMS,310,K1,American Identity in the Arts,Zerilli (Stacey M.),[21729],  3.0,     ,MW,04:30PM-06:00PM,28,   20,,   25,    5,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate,,
AMS,338,O1,Social Impact of Rock and Roll,Millen (Jonathan H.),[21686],  3.0,     ,TTH,04:30PM-06:00PM,48,   25,,   25,    0,CLSD,49,LAW,LA,UG,,| ONLY Junior& Senior| ONLY Undergraduate,,
AMS,400,01,SS: Sem in American Studies,Rubine (Erica I.),[21893],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,AMS 200 UG D,Academic Coordinator Signature
AMS,401,C1,Seminar in American Studies II,Rubine (Erica I.),[20762],  3.0,     ,MWF,10:20AM-11:20AM,13,   10,,   25,   15,OPEN,14,LAW,LA,UG,,| ONLY Undergraduate,AMS 200 UG D,
AMS,490,01,IS:Del Individual Wrtg Style,Setters (Raymond H.),[21869],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AMS,490,02,IS: The Kennedy Assassination,Castagnera (James O.),[22044],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AMS,490,03,IS: Spoleto Music Festival USA,Sullivan (John R.),[22096],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AMS,490,04,IS:Socio-EcoProb Fic Lit,Rubine (Erica I.),[22134],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
AMS,491,01,Internship in American Studies,Rosenthal (Deborah M.),[22051],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ART,105,HH,Design,Rosenthal (Deborah M.),[20350],  3.0,     ,W,01:10PM-04:10PM,16,   13,,   15,    2,OPEN,43,LAW,FP,UG,,| ONLY Undergraduate,,
ART,106,K1,Survey of Art History II,Swain (Richard O.),[20508],  3.0,     ,MW,04:30PM-06:00PM,48,   40,,   39,   -1,CLSD,49,LAW,FP,UG,,| ONLY Undergraduate,,
ART,120,F1,Art and Society,Naar (Harry I.),[20510],  3.0,     ,TTH,09:45AM-11:15AM,48,   45,,   39,   -6,CLSD,49,LAW,FP,UG,,| ONLY Undergraduate,,
ART,120,RE,Art and Society,Swain (Richard O.),[20511],  3.0,     ,TH,06:30PM-09:30PM,48,   34,,   39,    5,OPEN,49,LAW,FP,UG,,| ONLY Undergraduate,,
ART,204,NN,Fundamentals of Painting,Rosenthal (Deborah M.),[20351],  3.0,     ,TH,01:10PM-04:10PM,15,    9,,   15,    6,OPEN,48,LAW,FP,UG,,| ONLY Undergraduate,,
ART,230,NN,Three-Dimensional Design,Naar (Harry I.),[20352],  3.0,     ,TH,01:10PM-04:10PM,15,   14,,   15,    1,OPEN,48,LAW,FP,UG,,| ONLY Undergraduate,,
ART,304,GG,Drawing II,Naar (Harry I.),[20353],  3.0,     ,M,01:10PM-04:10PM,15,    8,,   15,    7,OPEN,48,LAW,FP,UG,,| ONLY Undergraduate,ART 103 UG D,
ART,306,I1,Art of the 20th Century,Swain (Richard O.),[20513],  3.0,     ,MW,02:50PM-04:20PM,48,    9,,   39,   30,OPEN,49,LAW,FP,UG,,| ONLY Undergraduate,,
ART,335,WE,Printmaking,Rosenthal (Deborah M.),[20354],  3.0,     ,W,06:30PM-09:30PM,15,   13,,   15,    2,OPEN,48,LAW,FP,UG,,| ONLY Undergraduate,,
ART,490,01,IS:Paint/Draw from Life & Phot,Naar (Harry I.),[22086],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ART,490,02,IS:Abstract Art Instruction,Rosenthal (Deborah M.),[22095],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
ART,492,TE,Advanced Studio Workshop,Naar (Harry I.),[20355],  3.0,     ,T,06:30PM-09:30PM,15,   11,,   15,    4,OPEN,48,LAW,FP,UG,,| ONLY Fine Arts | ONLY Undergraduate,Prerequisites: two upper-level studio courses,
ART,499,01,Senior Honors Program,Rosenthal (Deborah M.),[22016],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Undergraduate,Prerequisites: minimum GPA 3.5,Instructor Signature Required
ART,499,02,Senior Honors Program,Naar (Harry I.),[22169],  3.0,     ,,,,    1,,    1,    0,CLSD,,LAW,FP,UG,,| ONLY Undergraduate,Prerequisites: minimum GPA 3.5,Instructor Signature Required
BCH,225,F1,Intro. to Organic and Biochem,Burnham (Bruce S.),[20544],  4.0,     ,TTH,09:45AM-11:15AM,16,   10,,   16,    6,OPEN,17,LAW,LA,UG,BCH 225L 01 [21549],| ONLY Undergraduate,CHE 120 UG D and CHE 121 UG D and ( BIO 115 UG D or BIO 117 UG D),REQUIRED CO-REQUISITE:   BCH 225L LL
