SUBJ,CRS,SEC,TITLE,INSTRUCTORS,CRN,MIN_CRED,MAX_CRED,DAYS,TIME,RM_CAP,ENRL,GLOB_CAP,LOC_CAP,AVAIL,STAT,FIRECAP,CAMPUS,COLLEGE,LEVEL,COREQS,RESTRICTIONS,PREREQS,COMMENTs
GLS,310,MEO,Ethnographic Film,Rusciano (Roberta F.),[20117],  3.0,     ,M,06:30PM-09:30PM,48,   23,35,   20,   -3,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate| NO Continuing Studies,,
GLS,310,MER,Ethnographic Film,Rusciano (Roberta F.),[20118],  3.0,     ,M,06:30PM-09:30PM,48,   21,35,   15,   -6,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate| ONLY Continuing Studies,,
GLS,320,WEO,Politics of the Middle East,Mendilow (Jonathan),[21719],  3.0,     ,W,06:30PM-09:30PM,28,    3,35,    5,    2,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate,,
GLS,320,WER,Politics of the Middle East,Mendilow (Jonathan),[21720],  3.0,     ,W,06:30PM-09:30PM,28,    0,35,    5,    5,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate,,
GLS,328,TEO,Environmental Policy,Brogan (Michael J.),[21721],  3.0,     ,T,06:30PM-09:30PM,28,    1,35,    5,    4,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate,,
GLS,328,TER,Environmental Policy,Brogan (Michael J.),[21722],  3.0,     ,T,06:30PM-09:30PM,28,    1,35,    5,    4,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate,,
GLS,340,I1,Mod Democracy & its Critics,Mendilow (Jonathan),[21724],  3.0,     ,MW,02:50PM-04:20PM,28,    4,30,    5,    1,OPEN,29,LAW,LA,UG,,| ONLY Undergraduate,,
GLTP,500,TY1,Conceptl Framewks Tchg & Learn,Ambrose (Donald C.),[21502],  3.0,     ,T,04:30PM-07:10PM,28,   17,,   20,    3,OPEN,34,LAW,ED,GR,,| ONLY Graduate,,
GLTP,502,TZ1,CIS in Rdg/LA: Early Literacy,Scudder (Jenny L.),[21503],  3.0,     ,T,07:20PM-10:00PM,28,   10,,   20,   10,OPEN,34,LAW,ED,GR,,| ONLY Cert: Teacher Cert Bilingual & Cert: Tchr Cert Bus Educ & Cert: Early Childhood P-3 & Cert: Elementary Education & Cert: Teacher Cert ESL & Cert: Music Education K-12 & Cert: Teacher Certificate P-3 & Cert: Tchr Cert P-3 Endorsemnt & Cert: Tchr Cert Secondary Educ | ONLY Graduate,GLTP 500,
GLTP,510,WY1,Curr/Teaching Elem Schl:Math,Fraivillig (Judith L.),[21506],  3.0,     ,W,04:30PM-07:10PM,36,   10,,   20,   10,OPEN,37,LAW,ED,GR,,| ONLY Cert: Elementary Education & Cert: Teacher Cert ESL & Cert: Teacher Certificate P-3 & Cert: Tchr Cert P-3 Endorsemnt & Cert: Tchr Cert Secondary Educ | ONLY Graduate,GLTP 502,
GLTP,510,WZ1,Curr/Teaching Elem Schl:Math,Fraivillig (Judith L.),[21507],  3.0,     ,W,07:20PM-10:00PM,36,    9,,   20,   11,OPEN,37,LAW,ED,GR,,| ONLY Cert: Elementary Education Certificate& Cert: Teacher Cert ESL Certificate& Cert: Teacher Certificate P-3 Certificate& Cert: Tchr Cert P-3 Endorsemnt Certificate& Cert: Tchr Cert Secondary Educ Certificate| ONLY Graduate,GLTP 502,
